기간,항구공항명,수출건수,수출금액,수입건수,수입금액,무역수지
2016,포항(공)항,5,317,46,"33,776","-33,460"
2016,진주항,8,289,3,0,289
2016,속초항,37,200,278,"31,155","-30,955"
2016,청주공항,15,100,685,"1,620","-1,520"
2016,태안항,4,75,140,"776,096","-776,021"
2016,진주(사천)공항,43,56,0,0,56
2016,전주공항,2,12,0,0,12
2016,수원공항,1,1,1,0,1
2016,서귀포항,0,0,1,791,-791
2016,광주공항,1,0,0,0,0
2016,무안공항,0,0,176,"2,260","-2,260"
2016,성남공항,0,0,9,82,-82
2016,장승포항,0,0,9,"6,822","-6,822"
2016,도라산육로,0,0,1,26,-26
2016,충무항,0,0,5,317,-317
2016,양양공항,0,0,55,147,-147
2016,북평항,0,0,132,190,-190
2017,인천공항,"4,563,824","173,699,811","14,660,258","135,802,818","37,896,992"
2017,부산항,"2,519,564","163,583,000","1,736,881","120,917,880","42,665,120"
2017,인천항,"639,253","46,556,608","1,554,880","60,170,127","-13,613,519"
2017,울산항,"81,337","38,231,201","19,014","35,352,510","2,878,692"
2017,광양항,"220,218","24,538,887","78,327","12,567,071","11,971,816"
2017,평택항,"74,569","22,616,021","418,203","27,424,048","-4,808,027"
2017,고현항,875,"15,416,050",749,"900,737","14,515,313"
2017,대산항,"13,110","12,791,471","2,242","17,070,640","-4,279,169"
2017,옥포항,110,"12,616,767",168,"595,921","12,020,846"
2017,여수항,"3,703","12,220,169","3,136","23,605,650","-11,385,481"
2017,온산항,"3,920","9,854,425",549,"11,510,664","-1,656,239"
2017,미포항,125,"7,872,872",0,0,"7,872,872"
2017,목포항,"1,735","7,585,206",581,"404,899","7,180,307"
2017,마산항,"15,090","7,456,613","7,139","1,699,783","5,756,830"
2017,포항항,"20,961","6,105,853","7,428","6,802,262","-696,410"
2017,당진항,"7,038","2,668,439","1,609","3,863,961","-1,195,523"
2017,군산항,"7,791","2,625,493","22,314","2,989,716","-364,223"
2017,통영항,245,"1,407,461","1,843","99,436","1,308,024"
2017,기타불개항,948,"990,698",650,"6,113,524","-5,122,827"
2017,진해항,120,"723,269","4,564","167,792","555,477"
2017,김해공항,"45,517","540,285","13,156","155,422","384,863"
2017,김포공항,"50,591","436,465","85,178","388,417","48,048"
2017,인천공항국제우편세관,"111,937","301,798","21,260","59,154","242,644"
2017,제주공항,231,"300,144","1,562","14,067","286,077"
2017,동해항,"2,487","196,600","4,056","1,862,962","-1,666,362"
2017,대불항,293,"156,254",6,"16,961","139,292"
2017,경인항,711,"112,094","8,284","312,122","-200,029"
2017,감천항,605,"23,138","9,474","1,488,213","-1,465,075"
2017,옥계항,19,"21,147",124,"60,650","-39,503"
2017,보령항,5,"16,874",313,"2,344,428","-2,327,554"
2017,삼천포항,18,"16,619",219,"748,608","-731,988"
2017,삼척항,53,"7,755",136,"12,690","-4,935"
2017,대구공항,592,"7,040","1,415","3,957","3,083"
2017,묵호항,49,"4,095",1,31,"4,065"
2017,여천항,6,"3,559",590,"933,549","-929,990"
2017,장항항,14,"3,259",137,"64,701","-61,442"
2017,강릉항,1,"2,442",0,0,"2,442"
2017,부산국제우편세관,781,"1,956",750,"1,803",153
2017,서울세관,253,"1,389",14,409,980
2017,제주항,5,950,33,"7,161","-6,211"
2017,속초항,66,731,544,"58,321","-57,590"
2017,울산공항,3,429,1,5,425
2017,장승포항,1,147,13,74,73
2017,군산(공)항,8,101,0,0,101
2017,전주공항,5,62,0,0,62
2017,청주공항,22,44,386,928,-884
2017,진주(사천)공항,52,38,0,0,38
2017,진주항,1,6,1,140,-134
2017,강릉공항,1,6,0,0,6
2017,속초공항(삼척항),1,5,0,0,5
2017,호산항,0,0,4,"9,442","-9,442"
2017,광주공항,1,0,5,27,-27
2017,완도항,1,0,45,"3,465","-3,464"
2017,포항(공)항,0,0,1,"1,345","-1,345"
2017,양양공항,0,0,140,156,-156
2017,태안항,0,0,171,"1,282,697","-1,282,697"
2017,수원공항,0,0,3,0,0
2017,서귀포항,0,0,1,0,0
2017,성남공항,0,0,13,256,-256
2017,무안공항,1,0,191,"1,360","-1,360"
2018,인천공항,"4,760,364","200,222,053","17,377,642","141,672,458","58,549,595"
2018,부산항,"2,523,197","176,558,882","1,731,106","127,813,759","48,745,123"
2018,인천항,"708,614","46,211,699","1,668,699","67,358,173","-21,146,474"
2018,울산항,"82,131","41,839,449","17,998","38,580,012","3,259,437"
2018,광양항,"212,775","25,610,329","80,342","13,284,942","12,325,387"
2018,평택항,"84,050","22,060,337","467,356","32,238,120","-10,177,783"
2018,여수항,"3,999","15,937,261","3,176","31,922,097","-15,984,836"
2018,대산항,"10,804","15,295,657","2,321","24,013,813","-8,718,156"
2018,온산항,"4,223","12,950,714",701,"19,844,902","-6,894,188"
2018,목포항,"1,493","7,450,382",470,"404,952","7,045,430"
2018,포항항,"19,620","6,627,624","6,185","6,474,838","152,786"
2018,옥포항,97,"6,437,878",172,"585,256","5,852,622"
2018,마산항,"13,701","6,380,647","7,738","1,603,864","4,776,783"
2018,고현항,766,"5,336,475",471,"509,431","4,827,044"
2018,미포항,110,"4,760,095",0,0,"4,760,095"
2018,당진항,"8,543","3,007,131","1,273","3,601,884","-594,753"
2018,군산항,"8,846","2,127,290","19,580","3,595,679","-1,468,388"
2018,기타불개항,811,"792,625",754,"8,201,724","-7,409,098"
2018,김해공항,"43,241","651,730","12,506","364,732","286,998"
2018,김포공항,"245,177","374,012","86,869","867,891","-493,879"
2018,동해항,"3,278","330,898","4,260","2,110,894","-1,779,996"
2018,인천공항국제우편세관,"146,036","259,999","18,830","57,519","202,480"
2018,울산공항,"1,782","208,423",0,0,"208,423"
2018,진해항,115,"147,686","1,847","96,185","51,501"
2018,대불항,123,"116,003",7,"12,785","103,219"
2018,경인항,"1,003","85,170","8,380","347,946","-262,776"
2018,여수공항,8,"69,580",0,0,"69,580"
2018,태안항,1,"63,000",167,"1,543,859","-1,480,859"
2018,옥계항,26,"37,791",136,"68,903","-31,112"
2018,삼천포항,22,"26,580",187,"842,585","-816,005"
2018,통영항,213,"21,051","2,097","120,319","-99,268"
2018,감천항,136,"12,467","8,276","1,298,334","-1,285,867"
2018,묵호항,62,"6,038",1,58,"5,980"
2018,완도항,1,"4,803",7,592,"4,211"
2018,대구공항,501,"4,757","1,683","5,705",-948
2018,삼척항,27,"3,989",70,"6,384","-2,394"
2018,부산국제우편세관,737,"2,269",504,905,"1,364"
2018,속초항,45,"2,215",652,"80,460","-78,245"
2018,제주공항,222,"1,723","2,176","13,923","-12,200"
2018,강릉공항,1,"1,475",0,0,"1,475"
2018,장항항,12,"1,391",131,"63,419","-62,028"
2018,서울세관,"2,762","1,247",14,133,"1,115"
2018,제주항,1,"1,062",21,"2,974","-1,912"
2018,여천항,2,658,378,"1,107,821","-1,107,163"
2018,군산(공)항,9,480,0,0,480
2018,진주(사천)공항,22,442,1,3,439
2018,진주항,3,115,6,86,29
2018,청주공항,17,45,559,"1,706","-1,661"
2018,무안공항,1,4,294,962,-959
2018,포항(공)항,2,4,0,0,4
2018,전주공항,1,3,0,0,3
2018,호산항,0,0,1,"4,498","-4,498"
2018,장승포항,0,0,2,0,0
2018,보령항,0,0,326,"3,007,533","-3,007,533"
2018,양양공항,0,0,154,290,-290
2018,성남공항,0,0,18,280,-280
2018,도라산육로,0,0,3,85,-85
2019,부산항,"830,152","56,462,576","584,562","42,580,609","13,881,967"
2019,인천공항,"1,496,419","53,080,038","6,851,824","43,739,423","9,340,615"
2019,인천항,"241,453","13,756,751","563,211","22,220,952","-8,464,201"
2019,울산항,"26,714","13,596,884","6,013","11,459,775","2,137,109"
2019,광양항,"71,875","8,175,744","26,665","4,394,861","3,780,883"
2019,평택항,"27,502","7,283,190","141,539","10,199,050","-2,915,860"
2019,대산항,"3,165","4,876,113",728,"6,935,869","-2,059,757"
2019,여수항,"1,253","4,647,589","1,097","9,250,654","-4,603,066"
2019,온산항,"1,321","3,266,335",170,"5,066,287","-1,799,952"
2019,옥포항,57,"3,233,315",88,"210,360","3,022,955"
2019,목포항,357,"2,763,624",211,"162,081","2,601,543"
2019,포항항,"6,190","2,158,309","2,005","1,967,655","190,654"
2019,마산항,"4,820","1,937,459","2,488","438,840","1,498,619"
2019,미포항,44,"1,693,311",0,0,"1,693,311"
2019,고현항,290,"1,004,493",274,"334,875","669,617"
2019,당진항,"2,704","888,988",366,"916,554","-27,566"
2019,군산항,"2,825","584,467","9,050","1,278,105","-693,638"
2019,기타불개항,256,"280,302",230,"2,617,712","-2,337,410"
2019,김해공항,"13,811","238,455","3,989","255,679","-17,224"
2019,김포공항,"83,224","143,358","22,742","158,397","-15,039"
2019,진해항,41,"129,635",739,"34,672","94,963"
2019,통영항,97,"113,314",751,"115,061","-1,747"
2019,동해항,"1,284","108,149","1,316","612,769","-504,620"
2019,인천공항국제우편세관,"51,798","67,395","6,021","16,873","50,522"
2019,대불항,39,"24,614",1,"1,976","22,638"
2019,옥계항,12,"19,537",39,"18,731",806
2019,보령항,1,"7,404",103,"1,028,747","-1,021,343"
2019,삼천포항,24,"7,240",43,"204,537","-197,297"
2019,여수공항,2,"5,809",0,0,"5,809"
2019,경인항,344,"5,488","2,846","115,884","-110,396"
2019,울산공항,3,"2,246",0,0,"2,246"
2019,묵호항,17,"1,675",0,0,"1,675"
2019,대구공항,197,"1,672",594,"1,818",-145
2019,제주항,2,"1,469",16,"2,374",-905
2019,감천항,27,835,"2,666","431,056","-430,221"
2019,부산국제우편세관,176,512,133,297,216
2019,제주공항,88,496,737,"3,357","-2,862"
2019,장항항,4,486,46,"28,605","-28,119"
2019,진주(사천)공항,4,485,0,0,485
2019,속초항,27,441,285,"40,291","-39,851"
2019,여천항,1,333,124,"248,993","-248,660"
2019,서울세관,88,258,2,18,240
2019,강릉공항,1,54,0,0,54
2019,청주공항,1,10,170,"199,687","-199,677"
2019,전주공항,2,1,0,0,1
2019,무안공항,1,1,107,375,-374
2019,양양공항,0,0,37,55,-55
2019,장승포항,0,0,1,0,0
2019,진주항,0,0,4,66,-66
2019,성남공항,0,0,4,68,-68
2019,삼척항,0,0,20,"1,616","-1,616"
2019,완도항,0,0,3,252,-252
2019,호산항,0,0,1,"10,420","-10,420"
2019,태안항,0,0,40,"341,178","-341,178"
2019,도라산육로,0,0,3,1,-1
